Transaction_ID,Date,Customer_ID,Merchant_Name,Transaction_Amount,Payment_Method,Transaction_Status,Location
T1000,2025-01-01,C142,Flipkart,3617.79,Net Banking,Success,Delhi
T1001,2025-01-01,C111,Myntra,977.59,UPI,Success,Kolkata
T1002,2025-01-01,C181,Amazon,363.17,Debit Card,Success,Delhi
T1003,2025-01-01,C104,Myntra,4366.3,UPI,Success,Chennai
T1004,2025-01-01,C178,Myntra,132.61,Debit Card,Success,Kolkata
T1005,2025-01-01,C199,Amazon,3881.97,UPI,Success,Delhi
T1006,2025-01-02,C135,Flipkart,1145.31,Credit Card,Success,Delhi
T1007,2025-01-02,C144,Flipkart,4913.71,Debit Card,Failed,Delhi
T1008,2025-01-02,C130,Swiggy,4953.97,UPI,Success,Mumbai
T1009,2025-01-02,C110,Myntra,2346.44,Debit Card,Success,Kolkata
T1010,2025-01-03,C159,Amazon,2439.55,UPI,Success,Kolkata
T1011,2025-01-03,C184,BigBasket,1721.89,UPI,Success,Kolkata
T1012,2025-01-03,C138,Swiggy,1482.2,UPI,Success,Chennai
T1013,2025-01-03,C178,Swiggy,3769.16,Net Banking,Success,Delhi
T1014,2025-01-03,C189,Amazon,474.19,Credit Card,Success,Chennai
T1015,2025-01-04,C199,BigBasket,3220.37,Net Banking,Success,Bangalore
T1016,2025-01-04,C137,Amazon,4746.5,Net Banking,Success,Delhi
T1017,2025-01-05,C144,Flipkart,430.76,Net Banking,Success,Bangalore
T1018,2025-01-05,C120,Swiggy,4958.08,Debit Card,Success,Delhi
T1019,2025-01-05,C156,Amazon,810.27,UPI,Success,Bangalore
T1020,2025-01-06,C119,Myntra,2337.11,Credit Card,Success,Kolkata
T1021,2025-01-06,C127,Myntra,1806.28,Debit Card,Success,Bangalore
T1022,2025-01-06,C189,Flipkart,3185.01,UPI,Success,Mumbai
T1023,2025-01-07,C118,BigBasket,3415.91,Credit Card,Success,Bangalore
T1024,2025-01-07,C131,Myntra,981.41,UPI,Success,Bangalore
T1025,2025-01-07,C164,Myntra,3615.43,UPI,Success,Delhi
T1026,2025-01-07,C118,BigBasket,3114.92,Credit Card,Success,Kolkata
T1027,2025-01-07,C118,Flipkart,351.85,Debit Card,Success,Chennai
T1028,2025-01-07,C132,Amazon,3598.84,UPI,Success,Chennai
T1029,2025-01-07,C192,Swiggy,2691.57,UPI,Success,Bangalore
T1030,2025-01-07,C103,Myntra,479.11,Net Banking,Success,Chennai
T1031,2025-01-08,C105,Myntra,3309.11,UPI,Success,Kolkata
T1032,2025-01-08,C113,Swiggy,855.15,Debit Card,Success,Bangalore
T1033,2025-01-08,C184,Myntra,2331.92,Net Banking,Success,Chennai
T1034,2025-01-08,C156,Amazon,1136.09,Credit Card,Success,Kolkata
T1035,2025-01-08,C158,BigBasket,3041.79,Credit Card,Success,Delhi
T1036,2025-01-09,C152,Myntra,3964.07,UPI,Success,Delhi
T1037,2025-01-09,C127,Swiggy,3932.66,Credit Card,Success,Bangalore
T1038,2025-01-09,C189,Swiggy,1250.84,Net Banking,Success,Kolkata
T1039,2025-01-10,C182,Myntra,289.63,Debit Card,Success,Delhi
T1040,2025-01-10,C186,Myntra,4965.05,Debit Card,Success,Mumbai
T1041,2025-01-10,C130,Swiggy,320.12,UPI,Success,Delhi
T1042,2025-01-11,C193,Flipkart,53.35,Net Banking,Success,Kolkata
T1043,2025-01-11,C141,BigBasket,702.97,Credit Card,Failed,Chennai
T1044,2025-01-11,C162,BigBasket,326.75,Debit Card,Failed,Kolkata
T1045,2025-01-11,C181,Swiggy,4207.46,Credit Card,Success,Delhi
T1046,2025-01-11,C158,Myntra,3483.12,UPI,Success,Kolkata
T1047,2025-01-12,C183,Flipkart,3825.49,Debit Card,Success,Delhi
T1048,2025-01-12,C106,Myntra,2553.38,Net Banking,Success,Chennai
T1049,2025-01-12,C170,Swiggy,3615.55,UPI,Success,Mumbai
T1050,2025-01-12,C128,Amazon,1392.73,UPI,Success,Mumbai
T1051,2025-01-12,C136,Amazon,62.24,UPI,Success,Chennai
T1052,2025-01-13,C127,Amazon,4020.73,Net Banking,Failed,Bangalore
T1053,2025-01-13,C173,Flipkart,1197.68,UPI,Pending,Mumbai
T1054,2025-01-13,C141,Amazon,4205.89,Credit Card,Success,Bangalore
T1055,2025-01-13,C182,Flipkart,315.8,Debit Card,Success,Kolkata
T1056,2025-01-13,C168,Amazon,1949.36,UPI,Success,Mumbai
T1057,2025-01-14,C106,Swiggy,4998.05,Net Banking,Success,Bangalore
T1058,2025-01-14,C153,Myntra,567.52,Net Banking,Success,Chennai
T1059,2025-01-14,C195,BigBasket,1427.22,UPI,Success,Chennai
T1060,2025-01-15,C120,Flipkart,579.51,Debit Card,Success,Bangalore
T1061,2025-01-15,C197,Myntra,898.35,UPI,Success,Chennai
T1062,2025-01-15,C162,Myntra,2796.82,Debit Card,Success,Kolkata
T1063,2025-01-15,C186,BigBasket,732.44,UPI,Success,Delhi
T1064,2025-01-15,C143,BigBasket,713.04,Credit Card,Success,Mumbai
T1065,2025-01-16,C136,Flipkart,751.29,Net Banking,Success,Chennai
T1066,2025-01-16,C176,Myntra,1337.83,Net Banking,Success,Bangalore
T1067,2025-01-16,C170,Myntra,4605.94,Credit Card,Success,Kolkata
T1068,2025-01-16,C183,Amazon,3482.51,UPI,Success,Delhi
T1069,2025-01-16,C183,Swiggy,4053.21,Debit Card,Success,Mumbai
T1070,2025-01-17,C130,Flipkart,260.63,Credit Card,Success,Delhi
T1071,2025-01-17,C145,Swiggy,4187.83,Credit Card,Success,Chennai
T1072,2025-01-17,C136,Amazon,2075.25,Debit Card,Success,Bangalore
T1073,2025-01-17,C195,BigBasket,1402.97,Credit Card,Success,Chennai
T1074,2025-01-18,C170,Flipkart,2741.04,Net Banking,Success,Bangalore
T1075,2025-01-18,C182,Myntra,1606.79,Net Banking,Success,Delhi
T1076,2025-01-18,C180,Flipkart,1827.24,Debit Card,Success,Mumbai
T1077,2025-01-18,C156,Flipkart,1369.31,Credit Card,Success,Bangalore
T1078,2025-01-18,C108,Myntra,2282.45,Credit Card,Success,Chennai
T1079,2025-01-18,C151,Amazon,1568.77,Net Banking,Success,Delhi
T1080,2025-01-18,C187,Myntra,2706.0,Credit Card,Success,Mumbai
T1081,2025-01-18,C123,Amazon,95.25,UPI,Success,Delhi
T1082,2025-01-18,C197,Swiggy,4086.6,Debit Card,Success,Chennai
T1083,2025-01-18,C158,Myntra,1785.62,UPI,Success,Delhi
T1084,2025-01-19,C177,Myntra,2655.96,Credit Card,Success,Chennai
T1085,2025-01-19,C166,Myntra,937.75,Credit Card,Success,Mumbai
T1086,2025-01-19,C110,Swiggy,4158.85,Net Banking,Failed,Delhi
T1087,2025-01-19,C128,Amazon,4482.73,Net Banking,Success,Kolkata
T1088,2025-01-19,C163,Amazon,4092.81,Credit Card,Success,Delhi
T1089,2025-01-19,C190,BigBasket,2422.21,Net Banking,Success,Kolkata
T1090,2025-01-20,C117,Myntra,2852.4,Credit Card,Failed,Chennai
T1091,2025-01-20,C122,Swiggy,4240.08,Credit Card,Success,Chennai
T1092,2025-01-20,C110,Swiggy,3910.69,Credit Card,Success,Mumbai
T1093,2025-01-20,C158,Swiggy,1257.37,UPI,Success,Kolkata
T1094,2025-01-21,C162,Myntra,217.43,UPI,Success,Chennai
T1095,2025-01-21,C171,Amazon,1077.8,Debit Card,Success,Bangalore
T1096,2025-01-21,C112,BigBasket,459.22,Debit Card,Success,Kolkata
T1097,2025-01-21,C151,Swiggy,2441.86,UPI,Success,Chennai
T1098,2025-01-21,C104,Flipkart,744.47,UPI,Success,Chennai
T1099,2025-01-21,C106,Amazon,3903.76,Credit Card,Success,Kolkata
T1100,2025-01-21,C188,Flipkart,1694.48,Credit Card,Success,Chennai
T1101,2025-01-22,C194,Swiggy,1434.89,Credit Card,Success,Mumbai
T1102,2025-01-22,C163,Amazon,3119.95,Debit Card,Success,Chennai
T1103,2025-01-22,C133,Swiggy,3627.75,UPI,Success,Bangalore
T1104,2025-01-22,C197,BigBasket,866.74,UPI,Success,Bangalore
T1105,2025-01-23,C114,Myntra,3676.29,Net Banking,Success,Kolkata
T1106,2025-01-23,C170,Amazon,630.72,Net Banking,Success,Delhi
T1107,2025-01-24,C134,BigBasket,1062.34,Debit Card,Success,Bangalore
T1108,2025-01-24,C106,Flipkart,4684.86,UPI,Success,Mumbai
T1109,2025-01-24,C195,Flipkart,1945.75,Net Banking,Success,Kolkata
T1110,2025-01-24,C152,Swiggy,2189.07,UPI,Success,Bangalore
T1111,2025-01-24,C169,BigBasket,2528.92,Debit Card,Failed,Mumbai
T1112,2025-01-24,C138,BigBasket,1323.77,Net Banking,Success,Bangalore
T1113,2025-01-24,C180,Myntra,1836.1,Credit Card,Success,Kolkata
T1114,2025-01-25,C149,BigBasket,2923.57,Credit Card,Success,Kolkata
T1115,2025-01-25,C190,Swiggy,4834.22,Credit Card,Failed,Bangalore
T1116,2025-01-25,C124,Swiggy,2897.42,UPI,Success,Kolkata
T1117,2025-01-26,C100,BigBasket,4706.35,Debit Card,Success,Bangalore
T1118,2025-01-26,C130,Amazon,4794.39,UPI,Success,Delhi
T1119,2025-01-26,C109,BigBasket,82.73,Debit Card,Success,Bangalore
T1120,2025-01-26,C130,Swiggy,1775.46,UPI,Success,Kolkata
T1121,2025-01-27,C138,Flipkart,4815.72,UPI,Success,Bangalore
T1122,2025-01-27,C129,Myntra,2008.2,Net Banking,Success,Mumbai
T1123,2025-01-27,C169,Swiggy,1289.43,Debit Card,Success,Delhi
T1124,2025-01-27,C167,Amazon,4787.25,UPI,Success,Chennai
T1125,2025-01-27,C122,BigBasket,3439.99,UPI,Success,Kolkata
T1126,2025-01-28,C184,Myntra,2407.0,UPI,Success,Delhi
T1127,2025-01-28,C113,Myntra,4341.89,Debit Card,Success,Bangalore
T1128,2025-01-28,C168,Amazon,4494.67,Credit Card,Success,Chennai
T1129,2025-01-28,C141,Swiggy,4827.66,Credit Card,Success,Chennai
T1130,2025-01-28,C117,BigBasket,1047.25,UPI,Success,Kolkata
T1131,2025-01-28,C118,Swiggy,3874.44,Debit Card,Success,Delhi
T1132,2025-01-28,C134,Myntra,1655.93,Debit Card,Success,Chennai
T1133,2025-01-28,C158,BigBasket,3778.13,Net Banking,Success,Delhi
T1134,2025-01-29,C119,BigBasket,2213.59,UPI,Success,Chennai
T1135,2025-01-29,C194,BigBasket,75.72,Credit Card,Success,Chennai
T1136,2025-01-29,C187,Flipkart,2910.77,UPI,Success,Bangalore
T1137,2025-01-29,C188,Amazon,4374.42,Credit Card,Failed,Bangalore
T1138,2025-01-29,C152,Myntra,1295.91,UPI,Success,Delhi
T1139,2025-01-30,C175,Swiggy,703.32,UPI,Success,Chennai
T1140,2025-01-30,C136,Amazon,4574.2,Net Banking,Success,Mumbai
T1141,2025-01-30,C164,Myntra,3579.89,Debit Card,Success,Delhi
T1142,2025-01-30,C161,Swiggy,4962.81,Credit Card,Failed,Chennai
T1143,2025-01-30,C104,Flipkart,1543.16,Debit Card,Success,Mumbai
T1144,2025-01-30,C100,Flipkart,1201.49,UPI,Success,Kolkata
T1145,2025-01-31,C195,Flipkart,4820.95,UPI,Success,Bangalore
T1146,2025-01-31,C134,Flipkart,3479.53,Net Banking,Success,Kolkata
T1147,2025-01-31,C194,Flipkart,4805.28,UPI,Success,Kolkata
T1148,2025-02-01,C167,BigBasket,57.24,Debit Card,Success,Bangalore
T1149,2025-02-01,C150,Swiggy,4049.9,Credit Card,Failed,Bangalore
T1150,2025-02-01,C181,Swiggy,3226.96,Debit Card,Success,Bangalore
T1151,2025-02-02,C144,Amazon,2982.97,Debit Card,Success,Chennai
T1152,2025-02-02,C111,Swiggy,1637.29,Credit Card,Success,Chennai
T1153,2025-02-02,C106,BigBasket,2200.69,UPI,Success,Kolkata
T1154,2025-02-02,C144,BigBasket,1435.28,Net Banking,Success,Mumbai
T1155,2025-02-02,C146,Flipkart,2234.37,Credit Card,Success,Chennai
T1156,2025-02-02,C140,Amazon,4739.03,Debit Card,Success,Bangalore
T1157,2025-02-03,C181,Flipkart,4062.98,Net Banking,Success,Bangalore
T1158,2025-02-03,C167,Myntra,1865.97,Credit Card,Failed,Mumbai
T1159,2025-02-03,C137,BigBasket,269.27,Credit Card,Success,Kolkata
T1160,2025-02-03,C145,BigBasket,2319.32,Net Banking,Success,Chennai
T1161,2025-02-04,C111,BigBasket,4429.03,Debit Card,Success,Delhi
T1162,2025-02-04,C125,Flipkart,3939.17,Net Banking,Success,Chennai
T1163,2025-02-04,C158,Flipkart,4252.58,Debit Card,Success,Delhi
T1164,2025-02-05,C144,BigBasket,619.67,Credit Card,Success,Chennai
T1165,2025-02-05,C125,Amazon,742.76,Credit Card,Success,Bangalore
T1166,2025-02-05,C107,Myntra,1576.12,Debit Card,Failed,Kolkata
T1167,2025-02-05,C129,Flipkart,4809.27,UPI,Success,Kolkata
T1168,2025-02-05,C160,BigBasket,4353.9,UPI,Success,Mumbai
T1169,2025-02-06,C137,Swiggy,4647.39,UPI,Success,Chennai
T1170,2025-02-07,C157,Myntra,2110.47,UPI,Success,Bangalore
T1171,2025-02-07,C191,Swiggy,2840.84,UPI,Success,Delhi
T1172,2025-02-07,C104,Myntra,664.97,Credit Card,Success,Mumbai
T1173,2025-02-08,C112,Swiggy,1751.51,Debit Card,Success,Chennai
T1174,2025-02-08,C175,Flipkart,1361.79,Credit Card,Failed,Mumbai
T1175,2025-02-09,C165,BigBasket,4233.84,Credit Card,Success,Kolkata
T1176,2025-02-09,C166,Swiggy,4891.96,Credit Card,Success,Chennai
T1177,2025-02-09,C185,Amazon,4140.61,Credit Card,Failed,Kolkata
T1178,2025-02-09,C111,Flipkart,2849.47,Credit Card,Success,Kolkata
T1179,2025-02-09,C134,Amazon,4201.44,Debit Card,Success,Delhi
T1180,2025-02-09,C173,Amazon,1285.9,Credit Card,Success,Bangalore
T1181,2025-02-09,C119,BigBasket,3544.64,Net Banking,Success,Chennai
T1182,2025-02-09,C124,Flipkart,1930.21,UPI,Success,Kolkata
T1183,2025-02-09,C161,BigBasket,1209.01,Credit Card,Success,Bangalore
T1184,2025-02-10,C133,Swiggy,4410.9,Net Banking,Success,Delhi
T1185,2025-02-10,C197,Swiggy,4999.5,Debit Card,Success,Chennai
T1186,2025-02-10,C109,BigBasket,3856.58,Net Banking,Failed,Kolkata
T1187,2025-02-10,C159,Myntra,739.21,Credit Card,Success,Delhi
T1188,2025-02-10,C132,Amazon,1385.34,Net Banking,Success,Chennai
T1189,2025-02-10,C197,BigBasket,4677.05,Net Banking,Success,Mumbai
T1190,2025-02-10,C143,Flipkart,523.11,Credit Card,Success,Kolkata
T1191,2025-02-11,C135,Amazon,1934.62,Debit Card,Success,Delhi
T1192,2025-02-11,C127,BigBasket,53.38,Credit Card,Failed,Chennai
T1193,2025-02-11,C124,Flipkart,363.49,UPI,Success,Delhi
T1194,2025-02-11,C195,BigBasket,3533.31,UPI,Success,Chennai
T1195,2025-02-11,C119,Flipkart,134.86,UPI,Success,Chennai
T1196,2025-02-11,C157,Swiggy,4951.65,Debit Card,Success,Chennai
T1197,2025-02-12,C195,Flipkart,1026.76,Credit Card,Success,Bangalore
T1198,2025-02-12,C198,BigBasket,4845.19,Debit Card,Success,Mumbai
T1199,2025-02-12,C139,BigBasket,1112.84,Credit Card,Success,Chennai
T1200,2025-02-12,C105,BigBasket,4414.05,Credit Card,Success,Delhi
T1201,2025-02-12,C119,Flipkart,359.69,Credit Card,Success,Kolkata
T1202,2025-02-13,C102,Myntra,559.38,Credit Card,Success,Delhi
T1203,2025-02-13,C128,Swiggy,2014.64,Debit Card,Failed,Mumbai
T1204,2025-02-14,C197,Amazon,3554.11,Credit Card,Success,Delhi
T1205,2025-02-15,C197,BigBasket,510.67,UPI,Success,Kolkata
T1206,2025-02-15,C159,BigBasket,706.86,Net Banking,Success,Bangalore
T1207,2025-02-15,C179,Amazon,1263.38,Net Banking,Success,Delhi
T1208,2025-02-15,C163,Swiggy,2572.14,UPI,Success,Delhi
T1209,2025-02-15,C196,Flipkart,95.97,Credit Card,Success,Delhi
T1210,2025-02-15,C113,Flipkart,746.18,Net Banking,Success,Chennai
T1211,2025-02-16,C125,BigBasket,1509.8,Debit Card,Success,Chennai
T1212,2025-02-16,C167,Myntra,3172.23,Net Banking,Failed,Chennai
T1213,2025-02-16,C170,Swiggy,3257.45,Debit Card,Success,Mumbai
T1214,2025-02-17,C179,Flipkart,1607.17,UPI,Success,Chennai
T1215,2025-02-18,C118,Amazon,2618.05,Debit Card,Success,Delhi
